AB_cum;ucb_cum_10;ts_cum_10
110376;153588;108004
110854;154129;108355
111242;154764;108731
111503;155347;109012
111878;155734;109297
112155;156263;109647
112470;156789;109975
112807;157159;110237
113146;157693;110655
113477;158375;110999
113786;158795;111384
114077;159171;111774
114537;159659;112141
114889;160220;112429
115134;160784;112781
115449;161366;113063
115725;161854;113394
116088;162382;113671
116506;162915;113981
116923;163457;114189
117269;163739;114546
117660;164169;114981
117931;164587;115196
118265;164853;115531
118560;165250;115778
118990;165774;116142
119352;166151;116449
119592;166513;116724
119949;166934;116897
120419;167469;117223
120846;168106;117499
121310;168661;117771
121556;169172;118094
121911;169617;118557
122337;170133;118908
122710;170670;119182
123128;171268;119477
123450;171798;119669
123689;172257;120038
123996;172853;120356
124454;173356;120724
124749;173715;121033
125053;174094;121319
125440;174576;121613
125767;174976;121931
126073;175436;122239
126445;176074;122532
126752;176605;122811
127044;177047;123039
127231;177504;123394
127572;177983;123607
127821;178561;123833
128172;179054;124149
128376;179459;124466
128659;179960;124751
128921;180469;125031
129299;180921;125492
129651;181374;125787
129984;181656;126076
130389;182241;126312
130737;182705;126622
131158;183059;127016
131403;183473;127296
131739;183963;127522
132146;184404;127906
132554;185030;128195
132791;185438;128498
133148;185954;128905
133559;186513;129181
133881;186876;129669
134200;187320;130034
134577;187887;130422
135042;188243;130791
135477;188735;130953
135700;189180;131221
136007;189489;131483
136307;189967;131819
136638;190491;132213
136988;190964;132477
137323;191452;132823
137642;192068;133169
138091;192661;133415
138469;193245;133793
138858;193735;134168
139218;194099;134459
139431;194480;134663
139716;194910;135042
139989;195431;135337
140312;195964;135589
140785;196455;135894
141219;196818;136357
141588;197154;136614
141896;197565;136857
142323;197998;137118
142689;198521;137404
142972;199242;137704
143276;199834;138049
143612;200411;138417
144007;200850;138712
144488;201512;139012
144841;201929;139246
145109;202548;139446
145400;202906;139756
145727;203627;140068
146240;204119;140428
146565;204780;140725
146903;205267;140990
147286;205771;141291
147741;206202;141542
147971;206495;141796
148270;206965;142163
148764;207561;142585
149125;208066;142876
149555;208692;143143
149916;209169;143452
150193;209898;143644
150617;210441;143950
150985;210974;144298
151467;211478;144650
151845;211904;144942
152167;212443;145342
152458;212879;145718
152917;213532;145976
153153;214013;146180
153378;214493;146470
153712;214864;146751
154040;215261;147002
154406;215822;147388
154644;216326;147753
154869;216838;148033
155149;217307;148382
155474;217772;148734
155957;218260;149115
156205;218848;149352
156642;219448;149745
157021;220044;150034
157361;220632;150404
157870;221051;150660
158251;221529;151042
158635;222079;151339
158930;222526;151664
159271;223038;152007
159544;223430;152282
159879;224167;152585
160223;224667;152971
160550;225296;153185
160755;225822;153457
161077;226352;153761
161437;226863;154067
161739;227281;154343
162067;227858;154555
162454;228342;154801
162812;228694;155046
163203;229188;155379
163543;229709;155685
163808;230157;155948
164272;230734;156237
164558;231321;156424
164824;231821;156709
165139;232371;156889
165496;233080;157180
165957;233533;157450
166294;234077;157839
166641;234713;158097
166944;235188;158415
167335;235772;158770
167751;236333;159084
168089;236817;159326
168457;237184;159563
168925;237707;159922
169206;238310;160297
169497;238877;160555
169733;239449;160810
170058;240017;161049
170346;240398;161361
170795;240959;161543
171063;241364;161879
171425;241825;162172
171680;242391;162568
172248;242807;162879
172652;243300;163082
172950;244010;163499
173286;244504;163825
173672;244991;164121
173962;245581;164415
174327;246149;164743
174753;246755;164909
174989;247262;165242
175327;247679;165571
175643;248038;165784
176102;248544;165995
176447;249114;166400
176765;249685;166770
177206;250222;167007
177589;250738;167357
177911;251322;167542
178285;251872;167810
178551;252486;168047
178993;253029;168331
179377;253613;168626
179746;254064;168825
180102;254473;169046
180614;254840;169353
180960;255375;169606
181269;255797;169942
181616;256247;170204
181817;256627;170485
182113;257240;170697
182508;257811;170983
182858;258310;171218
183252;258857;171580
183566;259343;171883
183886;259917;172182
184264;260516;172453
184629;260930;172758
184985;261361;173141
185262;261765;173441
185608;262362;173712
186048;262710;173921
186455;263395;174324
186812;263925;174576
187273;264390;174790
187676;264912;175123
188072;265510;175413
188391;266075;175801
188754;266599;176152
189252;267297;176443
189538;267788;176853
189904;268165;177130
190292;268761;177327
190647;269263;177650
190995;269681;177999
191344;270136;178358
191652;270575;178543
192214;270991;178777
192580;271471;179060
192878;271973;179317
193225;272312;179639
193589;272825;179989
194025;273288;180239
194382;273860;180484
194759;274457;180737
195087;274871;180945
195539;275261;181183
195881;275758;181448
196154;276387;181752
196489;276899;182089
196791;277445;182377
197124;277902;182586
197609;278500;182907
197963;279007;183178
198351;279463;183453
198624;279972;183781
198984;280425;184118
199341;280966;184319
199626;281426;184653
199846;282052;184960
200238;282613;185303
200566;283184;185552
200902;283569;185898
201326;284087;186206
201595;284730;186455
201959;285272;186763
202443;285833;187066
202807;286482;187293
203177;287026;187485
203643;287389;187755
203998;287974;188076
204476;288545;188328
204781;289091;188516
205087;289550;188689
205457;290075;189072
205763;290581;189386
206070;290991;189749
206308;291484;190102
206656;291898;190416
207029;292280;190756
207438;292894;191132
207837;293300;191358
208057;293667;191588
208454;294205;191741
208793;294803;191981
209157;295290;192342
209573;295893;192675
209872;296316;193013
210229;296726;193411
210582;297480;193650
210992;297959;193870
211437;298460;194173
211835;298968;194380
212183;299469;194492
212510;299915;194762
212825;300474;195006
213242;300945;195268
213622;301284;195565
214051;301644;195793
214293;302177;196193
214768;302581;196551
215134;303073;196806
215531;303757;197187
215785;304160;197461
216209;304796;197772
216585;305220;198029
216902;305880;198257
217325;306296;198537
217700;306654;198751
218023;307266;199047
218401;307745;199327
218809;308308;199613
219168;308763;199889
219504;309321;200179
219796;309758;200448
220184;310245;200666
220464;310739;200853
220678;311253;201037
221073;311719;201397
221324;312249;201700
221726;312808;201932
222080;313367;202222
222450;313877;202555
222755;314437;202859
223189;314952;203163
223505;315424;203416
223794;315774;203730
224242;316197;203927
224617;316743;204206
225017;317296;204529
225292;317863;204817
225640;318388;205096
226035;318931;205309
226357;319281;205589
226776;319868;205861
227072;320193;206263
227465;320676;206532
227920;321230;206786
228352;321802;207009
228748;322296;207319
229162;322583;207575
229535;322990;207772
229925;323505;207952
230324;323984;208193
230680;324382;208528
231175;324925;208798
231489;325501;209044
231968;325953;209289
232292;326398;209567
232866;326926;209931
233395;327260;210207
233740;327777;210476
234232;328436;210723
234544;328828;210993
234884;329446;211187
235278;329877;211342
235662;330286;211746
236061;330795;211994
236463;331431;212158
236850;332022;212410
237212;332547;212693
237589;333218;213094
238060;333597;213342
238383;334105;213540
238649;334557;213951
239094;335110;214176
239642;335621;214409
239926;336117;214770
240222;336591;215143
240487;337194;215548
240799;337748;215831
241129;338172;216062
241452;338663;216373
241865;339335;216650
242309;339776;216972
242718;340358;217271
243160;340776;217675
243574;341096;217920
243990;341651;218230
244483;342112;218508
244709;342622;218953
245069;343125;219276
245572;343614;219574
245886;344086;219857
246294;344578;220161
246633;345210;220380
247015;345765;220714
247359;346264;221014
247692;346741;221323
247965;347264;221620
248332;347838;221898
248648;348346;222267
249111;348801;222562
249553;349246;222799
249910;349770;223173
250257;350310;223555
250633;350807;223892
250983;351236;224184
251231;351835;224677
251601;352265;225114
251920;352942;225211
252296;353414;225567
252631;353991;225871
252960;354398;226183
253356;354896;226566
253748;355450;226915
254148;355908;227129
254450;356460;227412
254795;356872;227808
255163;357359;228097
255466;357823;228336
255759;358273;228738
256096;358771;228986
256426;359297;229231
256783;359772;229497
257164;360159;229756
257495;360464;230243
257958;360973;230663
258204;361394;230942
258628;361927;231459
259082;362465;231875
259460;363086;232178
259700;363511;232345
260056;364087;232553
260483;364574;232783
260797;365168;233043
261081;365613;233409
261364;366248;233697
261874;366551;234029
262197;367086;234389
262455;367552;234671
262947;368064;234809
263430;368654;235122
263879;369155;235511
264195;369785;235777
264626;370355;236166
265028;370843;236487
265320;371264;236860
265648;371798;237188
266022;372107;237520
266523;372666;237679
266856;373155;238058
267189;373725;238270
267628;374194;238570
268116;374586;238858
268443;374954;239192
268949;375425;239471
269347;375937;239739
269692;376347;239983
270050;376740;240223
270387;377293;240445
270725;377887;240790
271076;378329;241063
271329;378825;241399
271602;379397;241668
271859;379814;241935
272175;380286;242199
272494;380705;242484
272764;381262;242845
273091;381504;243240
273525;382016;243540
273870;382528;243738
274153;383165;244024
274507;383904;244304
274906;384410;244513
275289;384929;244749
275692;385454;245089
276016;386004;245577
276488;386494;245947
276777;387025;246249
277094;387560;246564
277468;388111;246868
277839;388553;247223
278088;389089;247477
278454;389522;247783
278922;389980;248054
279212;390335;248278
279553;390891;248590
280036;391507;248822
280422;391992;249070
280791;392522;249304
281213;393331;249601
281571;393981;249889
281973;394393;250151
282370;394848;250411
282732;395261;250727
283112;395771;251016
283489;396088;251172
283809;396566;251351
284099;397267;251621
284453;397829;251819
284763;398403;252125
285231;398780;252375
285602;399299;252596
285954;399798;252867
286395;400337;253190
286786;400914;253569
287150;401434;253816
287497;401968;254043
287880;402475;254234
288254;402989;254583
288546;403720;254965
288842;404268;255163
289116;404834;255505
289449;405137;255831
289726;405471;256153
290079;406034;256442
290470;406576;256747
290914;407096;256981
291245;407623;257254
291614;408097;257543
291903;408409;257944
292301;408826;258148
292681;409224;258393
293023;409651;258684
293336;410276;259094
293651;410785;259340
294014;411262;259650
294515;411790;259888
294777;412308;260248
295133;412943;260429
295455;413316;260709
295903;413970;261033
296284;414573;261299
296642;415042;261559
296957;415464;261807
297342;416084;262027
297683;416722;262332
298039;417300;262612
298398;417784;262922
298634;418252;263273
298979;418854;263510
299340;419471;263855
299833;419921;264127
300186;420447;264401
300643;420846;264709
301069;421382;265046
301471;421712;265300
301883;422213;265662
302358;422785;265882
302688;423313;266131
303018;423904;266347
303364;424384;266573
303711;424879;266779
304067;425367;267009
304398;425837;267342
304720;426270;267771
305049;426726;268071
305399;427342;268347
305791;427657;268655
306045;428275;268903
306351;428814;269223
306653;429583;269491
307049;430024;269735
307512;430630;270086
307870;431227;270391
308190;431884;270674
308541;432439;270957
308892;432974;271304
309270;433445;271518
309517;433967;271831
309832;434390;272407
310245;434942;272670
310653;435297;272990
311046;435772;273311
311408;436126;273578
311760;436653;273848
312074;437151;274067
312387;437608;274313
312766;437804;274581
313129;438318;274844
313472;438935;275053
313833;439433;275232
314185;439848;275612
314414;440391;275878
314784;440907;276120
315151;441508;276352
315500;442040;276626
315905;442598;276933
316280;443107;277244
316546;443725;277441
316858;444260;277644
317188;444824;277974
317744;445524;278247
318101;446238;278490
318469;446689;278711
318786;447124;278905
319191;447692;279174
319538;448131;279476
320018;448630;279714
320346;449173;280029
320628;449679;280240
321061;450175;280398
321463;450646;280756
321777;451266;280969
322145;451583;281188
322508;452026;281536
322806;452710;281713
323146;453231;281878
323527;453740;282193
323918;454216;282522
324268;454765;282777
324685;455182;282994
324987;455788;283252
325289;456449;283532
325607;456987;283810
326061;457479;284066
326312;457949;284318
326827;458295;284580
327241;458828;284952
327643;459352;285352
327948;459839;285601
328240;460371;285924
328679;460779;286110
329021;461261;286416
329384;461820;286608
329809;462301;286922
330161;462876;287209
330374;463454;287384
330762;463917;287653
331162;464504;287827
331595;464960;288056
331915;465477;288301
332276;465922;288598
332607;466515;288915
332943;467089;289160
333215;467581;289361
333441;468187;289668
333907;468754;289988
334141;469186;290293
334437;469550;290516
334838;470025;290760
335261;470635;290991
335590;471186;291181
335966;471828;291559
336374;472227;291833
336793;472729;292098
337037;473048;292304
337304;473708;292477
337641;474315;292638
338063;474644;292855
338323;475103;293202
338640;475650;293458
339056;476097;293824
339394;476543;294139
339657;476949;294357
339965;477646;294564
340266;478252;294800
340619;478608;295034
340955;479200;295274
341330;479729;295514
341684;480294;295857
342009;480845;296111
342221;481378;296368
342622;481803;296694
343048;482257;296933
343447;482788;297152
343781;483407;297462
344142;483899;297726
344522;484425;297948
344880;484896;298222
345193;485304;298521
345650;485805;298913
346074;486380;299212
346543;486716;299437
346803;487188;299750
347266;487643;300045
347540;488060;300270
347911;488460;300504
348234;489045;300738
348593;489514;301139
348926;489874;301476
349269;490366;301706
349661;490801;301962
350089;491287;302336
350445;491686;302691
350869;492187;303003
351294;492599;303307
351720;493182;303650
352121;493772;303980
352521;494161;304353
352802;494528;304591
353116;495029;304936
353445;495549;305104
353717;495925;305356
354185;496444;305542
354555;497000;305742
354815;497519;306050
355177;498169;306357
355410;498599;306567
355812;498949;306864
356244;499390;307183
356534;500010;307402
356886;500473;307633
